userid,會員ID,
username,會員名,
groupid,會員組,
company,公司名,
level,級別,
validated,認證,
validator,認證名稱,
validtime,認證時間,
vip,VIP級別,
vipt,VIP指數理論值,
vipr,VIP指數修正值,
type,公司類型,
catid,欄目ID,
catids,欄目上級ID,
areaid,地區ID,
mode,經營模式,
capital,註冊資本,
regunit,註冊資本貨幣單位,
size,公司規模,
regyear,註冊年份,
regcity,註冊城市,
sell,銷售的產品(提供的服務),
buy,採購的產品(需要的服務),
business,主要經營範圍,
telephone,電話,
fax,傳真,
mail,電子郵件,公開
address,地址,
postcode,郵編,
homepage,公司網址,
fromtime,VIP開始時間,
totime,VIP過期時間,
styletime,風格模板過期時間,
thumb,形象圖片,
introduce,簡介,
hits,點擊次數,
keyword,關鍵詞,
template,模板,
skin,風格,
domain,綁定頂級域名,
icp,ICP備案號,
linkurl,主頁地址,
