itemid,ID,
catid,欄目ID,
areaid,地區ID,
level,級別,
title,標題,
style,顏色,
fee,收費,
introduce,簡介,
price,團購價,
marketprice,市場價,
savemoney,節省資金,
discount,折扣,
minamount,最低人數,
amount,最多人數,
logistic,需要物流,
tag,標籤,
keyword,關鍵詞,
pptword,分類屬性,
hits,點擊次數,
orders,訂單數量,
sales,銷量,
thumb,標題圖,
username,會員名,
groupid,會員組,
company,公司名,
vip,VIP級別,
validated,認證,
truename,姓名,
telephone,電話,
mobile,手機,
address,地址,
email,E-mail,
msn,MSN,
qq,QQ,
ali,阿里旺旺,
skype,Skype,
totime,過期時間,
endtime,結束時間,
editor,編輯,
edittime,修改時間,
addtime,添加時間,
ip,IP,
template,模板,
status,狀態,
process,進入,0成團中1團購中2已結束
linkurl,鏈接地址,
filepath,文件地址,
note,備註,
