itemid,ID,
catid,欄目ID,
areaid,地區ID,
level,級別,
title,標題,
style,顏色,
fee,收費,
introduce,簡介,
keyword,關鍵詞,
pptword,分類屬性,
department,招聘部門,
total,招聘人數,
minsalary,待遇水平最低,
maxsalary,待遇水平最高,
type,工作性質,
gender,性別,
marriage,婚姻要求,
education,學歷要求,
experience,工作經驗,
minage,最小年齡,
maxage,最大年齡,
hits,點擊次數,
apply,應聘次數,
username,會員名,
groupid,會員組,
company,公司名,
vip,VIP級別,
validated,認證,
truename,姓名/聯繫人,
telephone,電話,
mobile,手機,
address,地址,
email,E-mail,
msn,MSN,
qq,QQ,
ali,阿里旺旺,
skype,Skype,
sex,性別,
totime,過期時間,
editor,編輯,
edittime,修改時間,
editdate,修改日期,
addtime,添加時間,
adddate,添加日期,
ip,IP,
template,模板,
status,狀態,
linkurl,鏈接地址,
filepath,文件地址,
note,備註,
