itemid,ID,
catid,欄目ID,
mycatid,自定義分類,
areaid,地區ID,
level,級別,
elite,公司主頁推薦,
title,標題,
style,顏色,
fee,收費,
introduce,簡介,
brand,品牌,
price,價格,
amount,供貨總量,
tag,標籤,
keyword,關鍵詞,
pptword,屬性關鍵詞,
hits,點擊次數,
orders,訂單數量,
sales,銷售數量,
comments,評論數量,
thumb,標題圖1,
thumb1,標題圖2,
thumb2,標題圖3,
username,會員名,
groupid,會員組,
company,公司名,
vip,VIP級別,
validated,認證,
truename,姓名/聯繫人,
telephone,電話,
mobile,手機,
address,地址,
email,E-mail,
msn,MSN,
qq,QQ,
ali,阿里旺旺,
skype,Skype,
editor,編輯,
edittime,修改時間,
editdate,修改日期,
addtime,添加時間,
adddate,添加日期,
ip,IP,
template,模板,
status,狀態,
linkurl,鏈接地址,
filepath,文件地址,
note,備註,
