userid,會員ID,
username,會員名,
passport,通行證,
company,公司名,
password,登錄密碼,
payword,支付密碼,
email,E-mail,不公開
message,新信件數量,
chat,新對話數量,
sound,站內信聲音,
online,在線狀態,1在線0隱身
gender,性別,
truename,姓名/聯繫人,
mobile,手機,
msn,MSN,
qq,QQ,
ali,阿里旺旺,
skype,Skype,
department,部門,
career,職位,
admin,是否為管理員,
role,管理角色,
aid,管理分站地區ID,
groupid,會員組,
regid,註冊會員組,
areaid,地區ID,
sms,短信餘額,
credit,積分餘額,
money,資金餘額,
locking,資金鎖定,
bank,收款銀行,
account,收款帳號,
edittime,修改時間,
regip,註冊IP,
regtime,註冊時間,
loginip,登錄IP,
logintime,登錄時間,
logintimes,登錄次數,
black,站內信黑名單,
send,是否允許轉發站內信至郵箱,
auth,驗證密鑰,
authvalue,驗證內容,
authtime,驗證時間,
vemail,郵件認證,
vmobile,手機認證,
vtruename,實名認證,
vbank,銀行認證,
vcompany,公司認證,
vtrade,支付寶帳號認證,
trade,支付寶帳號,
support,客服專員,
inviter,推薦註冊人,
