itemid,ID,
catid,欄目ID,
areaid,地區ID,
level,級別,
title,標題,
style,顏色,
fee,收費,
introduce,簡介,
keyword,關鍵詞,
truename,姓名,
gender,性別,
birthday,生日,
age,年齡,
marriage,婚否,
height,身高,
weight,體重,
education,學歷,
school,畢業院校,
major,所學專業,
skill,專業技能,
language,語言水平,
minsalary,最低薪資,
maxsalary,最高薪資,
type,工作性質,
experience,工作經驗,
mobile,手機,
telephone,電話,
address,地址,
email,E-mail,
msn,MSN,
qq,QQ,
ali,阿里旺旺,
skype,Skype,
hits,點擊次數,
thumb,標題圖,
username,會員名,
addtime,添加時間,
editor,編輯,
edittime,修改時間,
ip,IP,
template,模板,
situation,求職狀態,
status,狀態,
open,簡歷公開程度,
linkurl,鏈接地址,
note,備註,
